Date,KOSPI200
2010-02-28,208.36
2010-03-31,221.58
2010-04-30,227.95
2010-05-31,214.34
2010-06-30,220.85001
2010-07-31,229.25
2010-08-31,226.81
2010-09-30,242.95
2010-10-31,242.98
2010-11-30,249.64
2010-12-31,271.19
2011-01-31,273.12
2011-02-28,256.35999
2011-03-31,278.87
2011-04-30,290.39001
2011-05-31,282.76001
2011-06-30,275.17001
2011-07-31,277.10999
2011-08-31,242.16
2011-09-30,230.41
2011-10-31,249.88
2011-11-30,241.19
2011-12-31,238.08
2012-01-31,256.89999
2012-02-29,267.13
2012-03-31,266.57999
2012-04-30,264.35001
2012-05-31,244.05
2012-06-30,244.89999
2012-07-31,250.08
2012-08-31,250.56
2012-09-30,262.48999
2012-10-31,250.17999
2012-11-30,254.25
2012-12-31,263.92001
2013-01-31,258.07001
2013-02-28,268.01001
2013-03-31,263.39001
2013-04-30,255.72
2013-05-31,261.47
2013-06-30,242.27
2013-07-31,247.99001
2013-08-31,251.74001
2013-09-30,260.91
2013-10-31,266.91
2013-11-30,269.57001
2013-12-31,264.23999
2014-01-31,252.89
2014-02-28,258.41
2014-03-31,258.10999
2014-04-30,255.33
2014-05-31,259.94
2014-06-30,260.56
2014-07-31,269.67999
2014-08-31,265.41
2014-09-30,256.76999
2014-10-31,250.45
2014-11-30,253.7
2014-12-31,244.05
2015-01-31,249.88
2015-02-28,251.46001
2015-03-31,257.28
2015-04-30,266.42001
2015-05-31,260.39001
2015-06-30,252.27
2015-07-31,244.3
2015-08-31,232.8
2015-09-30,236.71001
2015-10-31,249.41
2015-11-30,244.24001
2015-12-31,240.38
2016-01-31,232.10001
2016-02-29,234.63
2016-03-31,245.86
2016-04-30,245.2
2016-05-31,243.63
2016-06-30,244.14
2016-07-31,251.48
2016-08-31,256.87
2016-09-30,257.48999
2016-10-31,255.92999
2016-11-30,254.25999
2016-12-31,260.01001
2017-01-31,268.09
2017-02-28,270.06
2017-03-31,280.64001
2017-04-30,287.20999
2017-05-31,304.67001
2017-06-30,311.76001
2017-07-31,314.60001
2017-08-31,308.28
2017-09-30,316.26999
2017-10-31,333.57001
2017-11-30,325.25
2017-12-31,324.73999
2018-01-31,333.38
2018-02-28,312.85999
2018-03-31,314.60999
2018-04-30,323.56
2018-05-31,310.92001
2018-06-30,299.66
2018-07-31,297.45001
2018-08-31,300.07001
2018-09-30,300.51001
2018-10-31,264.01001
2018-11-30,271.35001
2018-12-31,261.98001
2019-01-31,285.89001
2019-02-28,283.79999
2019-03-31,276.48001
2019-04-30,284.92001
2019-05-31,263.89001
2019-06-30,277.5
2019-07-31,266.34
2019-08-31,259.0
2019-09-30,273.54999
2019-10-31,275.82001
2019-11-30,276.78
2019-12-31,293.76999
2020-01-31,284.53
2020-02-29,268.01999
2020-03-31,236.82001
2020-04-30,258.14999
2020-05-31,268.32001
2020-06-30,280.09
2020-07-31,299.32001
2020-08-31,307.14001
2020-09-30,309.44
2020-10-31,301.60001
2020-11-30,346.04999
2020-12-31,389.29001
2021-01-31,404.56
2021-02-28,409.91
2021-03-31,415.04001
2021-04-30,422.35999
2021-05-31,427.91
2021-06-30,438.84
2021-07-31,423.91
2021-08-31,419.79001
2021-09-30,401.29999
2021-10-31,388.47
2021-11-30,373.23999
2021-12-31,394.19
2022-01-31,357.98001
2022-02-28,361.54001
2022-03-31,365.60999
2022-04-30,355.07999
2022-05-31,354.54001
2022-06-30,307.20001
2022-07-31,323.31
2022-08-31,322.95999
2022-09-30,281.35999
